# 18.11.2020
# 
# unfiltered x-ray spectrum
# measured at: PTB, Braunschweig
# anode: rhodium
# tube voltage: 14 kV
# anode angle: 18°
# inherent filtration: 0.15 mm Be
# measured in air at 100 cm distance from the focus
# bin width: 0.25 keV
# 
# energy 	 fluence
# (top of bin) 	 (normalised to total fluence and bin width)
# [keV] 	 [photons keV^-1 cm^-2]
2.500e-01 	 0.00000e+00
5.000e-01 	 0.00000e+00
7.500e-01 	 0.00000e+00
1.000e+00 	 0.00000e+00
1.250e+00 	 0.00000e+00
1.500e+00 	 0.00000e+00
1.750e+00 	 0.00000e+00
2.000e+00 	 0.00000e+00
2.250e+00 	 0.00000e+00
2.500e+00 	 0.00000e+00
2.750e+00 	 0.00000e+00
3.000e+00 	 0.00000e+00
3.250e+00 	 0.00000e+00
3.500e+00 	 0.00000e+00
3.750e+00 	 0.00000e+00
4.000e+00 	 0.00000e+00
4.250e+00 	 8.24532e-02
4.500e+00 	 3.41062e-01
4.750e+00 	 5.59880e-01
5.000e+00 	 9.44995e-01
5.250e+00 	 1.52290e+00
5.500e+00 	 2.43055e+00
5.750e+00 	 3.38817e+00
6.000e+00 	 4.70707e+00
6.250e+00 	 6.26572e+00
6.500e+00 	 7.57747e+00
6.750e+00 	 9.20603e+00
7.000e+00 	 1.05535e+01
7.250e+00 	 1.20463e+01
7.500e+00 	 1.31250e+01
7.750e+00 	 1.45083e+01
8.000e+00 	 1.57835e+01
8.250e+00 	 1.62977e+01
8.500e+00 	 1.66107e+01
8.750e+00 	 1.71025e+01
9.000e+00 	 1.73766e+01
9.250e+00 	 1.73382e+01
9.500e+00 	 1.72056e+01
9.750e+00 	 1.72678e+01
1.000e+01 	 1.67155e+01
1.025e+01 	 1.61751e+01
1.050e+01 	 1.54480e+01
1.075e+01 	 1.51540e+01
1.100e+01 	 1.40847e+01
1.125e+01 	 1.52078e+01
1.150e+01 	 1.32805e+01
1.175e+01 	 1.25039e+01
1.200e+01 	 1.13322e+01
1.225e+01 	 1.01369e+01
1.250e+01 	 9.05458e+00
1.275e+01 	 7.90022e+00
1.300e+01 	 6.80504e+00
1.325e+01 	 5.21176e+00
1.350e+01 	 4.14429e+00
1.375e+01 	 2.46753e+00
1.400e+01 	 8.24270e-01
1.425e+01 	 6.20218e-02
1.450e+01 	 7.32429e-02
1.475e+01 	 6.48653e-02
1.500e+01 	 5.44713e-02
1.525e+01 	 6.03670e-02
1.550e+01 	 6.08541e-02
1.575e+01 	 4.88791e-02
1.600e+01 	 6.24078e-02
1.625e+01 	 4.56290e-02
1.650e+01 	 5.74871e-02
1.675e+01 	 5.34020e-02
1.700e+01 	 4.65248e-02
1.725e+01 	 4.58419e-02
1.750e+01 	 4.61937e-02
1.775e+01 	 4.79272e-02
1.800e+01 	 4.13831e-02
1.825e+01 	 4.67368e-02
1.850e+01 	 3.15600e-02
1.875e+01 	 4.00970e-02
1.900e+01 	 3.48703e-02
1.925e+01 	 3.50771e-02
1.950e+01 	 2.89976e-02
1.975e+01 	 3.04793e-02
2.000e+01 	 2.80861e-02
2.025e+01 	 2.11508e-02
2.050e+01 	 1.86736e-02
2.075e+01 	 2.36686e-02
2.100e+01 	 1.43646e-02
2.125e+01 	 1.69395e-02
2.150e+01 	 1.61268e-02
2.175e+01 	 1.05042e-02
2.200e+01 	 1.16931e-02
2.225e+01 	 8.01685e-03
2.250e+01 	 6.11350e-03
2.275e+01 	 7.98879e-03
2.300e+01 	 5.85811e-03
2.325e+01 	 3.13804e-03
