# 18.11.2020
# 
# unfiltered x-ray spectrum
# measured at: PTB, Braunschweig
# anode: rhodium
# tube voltage: 49 kV
# anode angle: 18°
# inherent filtration: 0.15 mm Be
# measured in air at 100 cm distance from the focus
# bin width: 0.25 keV
# 
# energy 	 fluence
# (top of bin) 	 (normalised to total fluence and bin width)
# [keV] 	 [photons keV^-1 cm^-2]
2.500e-01 	 0.00000e+00
5.000e-01 	 0.00000e+00
7.500e-01 	 0.00000e+00
1.000e+00 	 0.00000e+00
1.250e+00 	 0.00000e+00
1.500e+00 	 0.00000e+00
1.750e+00 	 0.00000e+00
2.000e+00 	 0.00000e+00
2.250e+00 	 0.00000e+00
2.500e+00 	 0.00000e+00
2.750e+00 	 0.00000e+00
3.000e+00 	 0.00000e+00
3.250e+00 	 0.00000e+00
3.500e+00 	 0.00000e+00
3.750e+00 	 0.00000e+00
4.000e+00 	 0.00000e+00
4.250e+00 	 9.20586e-04
4.500e+00 	 9.62518e-03
4.750e+00 	 5.49202e-02
5.000e+00 	 1.11328e-02
5.250e+00 	 6.43075e-02
5.500e+00 	 1.52683e-01
5.750e+00 	 2.33871e-01
6.000e+00 	 3.23880e-01
6.250e+00 	 4.45266e-01
6.500e+00 	 6.58223e-01
6.750e+00 	 7.84714e-01
7.000e+00 	 1.02477e+00
7.250e+00 	 1.23082e+00
7.500e+00 	 1.43590e+00
7.750e+00 	 1.70432e+00
8.000e+00 	 1.97016e+00
8.250e+00 	 2.25361e+00
8.500e+00 	 2.35092e+00
8.750e+00 	 2.59688e+00
9.000e+00 	 2.90506e+00
9.250e+00 	 3.27472e+00
9.500e+00 	 3.16083e+00
9.750e+00 	 3.32622e+00
1.000e+01 	 4.10591e+00
1.025e+01 	 5.02805e+00
1.050e+01 	 2.06051e+00
1.075e+01 	 3.36578e+00
1.100e+01 	 3.75134e+00
1.125e+01 	 4.28594e+00
1.150e+01 	 4.15108e+00
1.175e+01 	 4.15505e+00
1.200e+01 	 4.25883e+00
1.225e+01 	 4.05352e+00
1.250e+01 	 4.21376e+00
1.275e+01 	 4.40095e+00
1.300e+01 	 3.94919e+00
1.325e+01 	 3.93704e+00
1.350e+01 	 4.02611e+00
1.375e+01 	 3.91682e+00
1.400e+01 	 3.98653e+00
1.425e+01 	 3.91513e+00
1.450e+01 	 3.90901e+00
1.475e+01 	 3.86078e+00
1.500e+01 	 3.78335e+00
1.525e+01 	 3.74115e+00
1.550e+01 	 3.72778e+00
1.575e+01 	 3.61980e+00
1.600e+01 	 3.60336e+00
1.625e+01 	 3.58536e+00
1.650e+01 	 3.47941e+00
1.675e+01 	 3.46742e+00
1.700e+01 	 3.40706e+00
1.725e+01 	 3.39936e+00
1.750e+01 	 3.31799e+00
1.775e+01 	 3.26424e+00
1.800e+01 	 3.24896e+00
1.825e+01 	 3.17595e+00
1.850e+01 	 3.15981e+00
1.875e+01 	 3.12803e+00
1.900e+01 	 3.15027e+00
1.925e+01 	 2.97079e+00
1.950e+01 	 3.45161e+00
1.975e+01 	 3.31089e+00
2.000e+01 	 3.39192e+01
2.025e+01 	 4.97593e+01
2.050e+01 	 8.16027e+00
2.075e+01 	 2.16492e+00
2.100e+01 	 2.89667e+00
2.125e+01 	 2.52740e+00
2.150e+01 	 2.65042e+00
2.175e+01 	 2.46818e+00
2.200e+01 	 2.76708e+00
2.225e+01 	 2.05018e+00
2.250e+01 	 6.41330e+00
2.275e+01 	 1.25811e+01
2.300e+01 	 4.73414e+00
2.325e+01 	 3.54864e+00
2.350e+01 	 1.79715e+00
2.375e+01 	 1.76375e+00
2.400e+01 	 1.71561e+00
2.425e+01 	 1.73545e+00
2.450e+01 	 1.68777e+00
2.475e+01 	 1.67795e+00
2.500e+01 	 1.68298e+00
2.525e+01 	 1.67949e+00
2.550e+01 	 1.60141e+00
2.575e+01 	 1.59846e+00
2.600e+01 	 1.55767e+00
2.625e+01 	 1.54289e+00
2.650e+01 	 1.54263e+00
2.675e+01 	 1.49073e+00
2.700e+01 	 1.50528e+00
2.725e+01 	 1.49489e+00
