# 18.11.2020
# 
# unfiltered x-ray spectrum
# measured at: PTB, Braunschweig
# anode: rhodium
# tube voltage: 35 kV
# anode angle: 18°
# inherent filtration: 0.15 mm Be
# measured in air at 100 cm distance from the focus
# bin width: 0.25 keV
# 
# energy 	 fluence
# (top of bin) 	 (normalised to total fluence and bin width)
# [keV] 	 [photons keV^-1 cm^-2]
2.500e-01 	 0.00000e+00
5.000e-01 	 0.00000e+00
7.500e-01 	 0.00000e+00
1.000e+00 	 0.00000e+00
1.250e+00 	 0.00000e+00
1.500e+00 	 0.00000e+00
1.750e+00 	 0.00000e+00
2.000e+00 	 0.00000e+00
2.250e+00 	 0.00000e+00
2.500e+00 	 0.00000e+00
2.750e+00 	 0.00000e+00
3.000e+00 	 0.00000e+00
3.250e+00 	 0.00000e+00
3.500e+00 	 0.00000e+00
3.750e+00 	 0.00000e+00
4.000e+00 	 0.00000e+00
4.250e+00 	 2.81801e-02
4.500e+00 	 1.56189e-01
4.750e+00 	 8.67546e-02
5.000e+00 	 1.63843e-01
5.250e+00 	 2.02319e-01
5.500e+00 	 3.69499e-01
5.750e+00 	 4.96877e-01
6.000e+00 	 7.46076e-01
6.250e+00 	 9.57149e-01
6.500e+00 	 1.27590e+00
6.750e+00 	 1.61812e+00
7.000e+00 	 1.92123e+00
7.250e+00 	 2.38779e+00
7.500e+00 	 2.64360e+00
7.750e+00 	 3.07447e+00
8.000e+00 	 3.56733e+00
8.250e+00 	 3.82397e+00
8.500e+00 	 4.00917e+00
8.750e+00 	 4.38776e+00
9.000e+00 	 4.66300e+00
9.250e+00 	 5.00782e+00
9.500e+00 	 5.06512e+00
9.750e+00 	 5.24325e+00
1.000e+01 	 5.89587e+00
1.025e+01 	 6.32439e+00
1.050e+01 	 4.60085e+00
1.075e+01 	 5.42053e+00
1.100e+01 	 5.64515e+00
1.125e+01 	 6.42312e+00
1.150e+01 	 6.18341e+00
1.175e+01 	 6.09333e+00
1.200e+01 	 6.05252e+00
1.225e+01 	 5.85896e+00
1.250e+01 	 5.94866e+00
1.275e+01 	 5.99236e+00
1.300e+01 	 5.79182e+00
1.325e+01 	 5.50680e+00
1.350e+01 	 5.65417e+00
1.375e+01 	 5.44504e+00
1.400e+01 	 5.51039e+00
1.425e+01 	 5.20675e+00
1.450e+01 	 5.37534e+00
1.475e+01 	 5.06397e+00
1.500e+01 	 5.05943e+00
1.525e+01 	 4.96263e+00
1.550e+01 	 4.84344e+00
1.575e+01 	 4.79632e+00
1.600e+01 	 4.75474e+00
1.625e+01 	 4.53199e+00
1.650e+01 	 4.52128e+00
1.675e+01 	 4.43120e+00
1.700e+01 	 4.25152e+00
1.725e+01 	 4.26019e+00
1.750e+01 	 4.11508e+00
1.775e+01 	 4.09393e+00
1.800e+01 	 3.96040e+00
1.825e+01 	 3.87860e+00
1.850e+01 	 3.88560e+00
1.875e+01 	 3.70333e+00
1.900e+01 	 3.72744e+00
1.925e+01 	 3.60106e+00
1.950e+01 	 3.75630e+00
1.975e+01 	 3.60137e+00
2.000e+01 	 2.17088e+01
2.025e+01 	 3.12518e+01
2.050e+01 	 6.26828e+00
2.075e+01 	 2.87755e+00
2.100e+01 	 3.11816e+00
2.125e+01 	 2.88276e+00
2.150e+01 	 2.94983e+00
2.175e+01 	 2.73525e+00
2.200e+01 	 2.88969e+00
2.225e+01 	 2.38476e+00
2.250e+01 	 4.96817e+00
2.275e+01 	 8.54872e+00
2.300e+01 	 3.87773e+00
2.325e+01 	 3.13020e+00
2.350e+01 	 2.05868e+00
2.375e+01 	 2.02011e+00
2.400e+01 	 1.95826e+00
2.425e+01 	 1.92039e+00
2.450e+01 	 1.90513e+00
2.475e+01 	 1.80146e+00
2.500e+01 	 1.81669e+00
2.525e+01 	 1.72436e+00
2.550e+01 	 1.74845e+00
2.575e+01 	 1.63103e+00
2.600e+01 	 1.64182e+00
2.625e+01 	 1.58409e+00
2.650e+01 	 1.51444e+00
2.675e+01 	 1.48481e+00
2.700e+01 	 1.41791e+00
2.725e+01 	 1.41533e+00
2.750e+01 	 1.32626e+00
2.775e+01 	 1.32635e+00
2.800e+01 	 1.23815e+00
2.825e+01 	 1.22813e+00
2.850e+01 	 1.17392e+00
2.875e+01 	 1.14773e+00
2.900e+01 	 1.09443e+00
2.925e+01 	 1.03654e+00
2.950e+01 	 1.00553e+00
2.975e+01 	 9.79779e-01
3.000e+01 	 9.15521e-01
3.025e+01 	 8.87236e-01
3.050e+01 	 8.43069e-01
3.075e+01 	 7.99730e-01
3.100e+01 	 7.59020e-01
3.125e+01 	 7.16744e-01
3.150e+01 	 6.83913e-01
3.175e+01 	 6.46063e-01
3.200e+01 	 5.90981e-01
3.225e+01 	 5.43415e-01
3.250e+01 	 5.22820e-01
3.275e+01 	 4.67199e-01
3.300e+01 	 4.23939e-01
3.325e+01 	 3.79574e-01
3.350e+01 	 3.46700e-01
3.375e+01 	 2.83674e-01
3.400e+01 	 2.49843e-01
3.425e+01 	 2.06507e-01
3.450e+01 	 1.43002e-01
3.475e+01 	 1.14530e-01
3.500e+01 	 2.72938e-02
3.525e+01 	 1.08561e-02
3.550e+01 	 1.73933e-04
3.575e+01 	 6.35587e-03
3.600e+01 	 8.13715e-04
3.625e+01 	 3.14183e-03
3.650e+01 	 2.42821e-03
3.675e+01 	 3.48337e-03
3.700e+01 	 2.01291e-03
3.725e+01 	 3.72940e-03
