# 18.11.2020
# 
# unfiltered x-ray spectrum
# measured at: PTB, Braunschweig
# anode: rhodium
# tube voltage: 12 kV
# anode angle: 18°
# inherent filtration: 0.15 mm Be
# measured in air at 100 cm distance from the focus
# bin width: 0.25 keV
# 
# energy 	 fluence
# (top of bin) 	 (normalised to total fluence and bin width)
# [keV] 	 [photons keV^-1 cm^-2]
2.500e-01 	 0.00000e+00
5.000e-01 	 0.00000e+00
7.500e-01 	 0.00000e+00
1.000e+00 	 0.00000e+00
1.250e+00 	 0.00000e+00
1.500e+00 	 0.00000e+00
1.750e+00 	 0.00000e+00
2.000e+00 	 0.00000e+00
2.250e+00 	 0.00000e+00
2.500e+00 	 0.00000e+00
2.750e+00 	 0.00000e+00
3.000e+00 	 0.00000e+00
3.250e+00 	 0.00000e+00
3.500e+00 	 0.00000e+00
3.750e+00 	 0.00000e+00
4.000e+00 	 0.00000e+00
4.250e+00 	 2.98659e-01
4.500e+00 	 4.95720e-01
4.750e+00 	 8.26664e-01
5.000e+00 	 1.47601e+00
5.250e+00 	 2.34429e+00
5.500e+00 	 3.69318e+00
5.750e+00 	 5.24068e+00
6.000e+00 	 7.03226e+00
6.250e+00 	 9.28987e+00
6.500e+00 	 1.12556e+01
6.750e+00 	 1.34715e+01
7.000e+00 	 1.52197e+01
7.250e+00 	 1.71286e+01
7.500e+00 	 1.84401e+01
7.750e+00 	 2.00200e+01
8.000e+00 	 2.14891e+01
8.250e+00 	 2.17372e+01
8.500e+00 	 2.18514e+01
8.750e+00 	 2.20266e+01
9.000e+00 	 2.17930e+01
9.250e+00 	 2.12388e+01
9.500e+00 	 2.03515e+01
9.750e+00 	 1.96897e+01
1.000e+01 	 1.83514e+01
1.025e+01 	 1.68084e+01
1.050e+01 	 1.51305e+01
1.075e+01 	 1.37204e+01
1.100e+01 	 1.15893e+01
1.125e+01 	 1.07870e+01
1.150e+01 	 7.82860e+00
1.175e+01 	 4.85986e+00
1.200e+01 	 1.60578e+00
1.225e+01 	 1.40939e-01
1.250e+01 	 1.51220e-01
1.275e+01 	 1.14148e-01
1.300e+01 	 1.19535e-01
1.325e+01 	 1.17578e-01
1.350e+01 	 1.14459e-01
1.375e+01 	 1.15769e-01
1.400e+01 	 1.06480e-01
1.425e+01 	 1.13719e-01
1.450e+01 	 1.03771e-01
1.475e+01 	 1.17839e-01
1.500e+01 	 1.08463e-01
1.525e+01 	 1.11065e-01
1.550e+01 	 1.04320e-01
1.575e+01 	 1.02782e-01
1.600e+01 	 1.01833e-01
1.625e+01 	 9.45380e-02
1.650e+01 	 9.18575e-02
1.675e+01 	 8.71791e-02
1.700e+01 	 8.54245e-02
1.725e+01 	 8.76292e-02
1.750e+01 	 6.97883e-02
1.775e+01 	 6.91261e-02
1.800e+01 	 6.68417e-02
1.825e+01 	 6.20984e-02
1.850e+01 	 5.17047e-02
1.875e+01 	 5.03778e-02
1.900e+01 	 4.57802e-02
1.925e+01 	 3.52846e-02
1.950e+01 	 3.26361e-02
1.975e+01 	 2.68124e-02
2.000e+01 	 2.51253e-02
2.025e+01 	 1.60174e-02
2.050e+01 	 1.97777e-02
2.075e+01 	 8.47287e-03
2.100e+01 	 1.29377e-02
2.125e+01 	 6.45045e-03
2.150e+01 	 7.93158e-03
2.175e+01 	 3.48351e-03
2.200e+01 	 4.09752e-03
2.225e+01 	 1.87251e-03
2.250e+01 	 1.47423e-03
