# 18.11.2020
# 
# unfiltered x-ray spectrum
# measured at: PTB, Braunschweig
# anode: rhodium
# tube voltage: 10 kV
# anode angle: 18°
# inherent filtration: 0.15 mm Be
# measured in air at 100 cm distance from the focus
# bin width: 0.25 keV
# 
# energy 	 fluence
# (top of bin) 	 (normalised to total fluence and bin width)
# [keV] 	 [photons keV^-1 cm^-2]
2.500e-01 	 0.00000e+00
5.000e-01 	 0.00000e+00
7.500e-01 	 0.00000e+00
1.000e+00 	 0.00000e+00
1.250e+00 	 0.00000e+00
1.500e+00 	 0.00000e+00
1.750e+00 	 0.00000e+00
2.000e+00 	 0.00000e+00
2.250e+00 	 0.00000e+00
2.500e+00 	 0.00000e+00
2.750e+00 	 0.00000e+00
3.000e+00 	 0.00000e+00
3.250e+00 	 0.00000e+00
3.500e+00 	 0.00000e+00
3.750e+00 	 0.00000e+00
4.000e+00 	 0.00000e+00
4.250e+00 	 6.02308e-01
4.500e+00 	 9.86699e-01
4.750e+00 	 1.58557e+00
5.000e+00 	 2.81916e+00
5.250e+00 	 4.47297e+00
5.500e+00 	 6.83776e+00
5.750e+00 	 9.70536e+00
6.000e+00 	 1.26969e+01
6.250e+00 	 1.63517e+01
6.500e+00 	 1.94434e+01
6.750e+00 	 2.29033e+01
7.000e+00 	 2.51884e+01
7.250e+00 	 2.75925e+01
7.500e+00 	 2.88154e+01
7.750e+00 	 3.00429e+01
8.000e+00 	 3.04156e+01
8.250e+00 	 2.97105e+01
8.500e+00 	 2.81489e+01
8.750e+00 	 2.62645e+01
9.000e+00 	 2.32700e+01
9.250e+00 	 1.99774e+01
9.500e+00 	 1.52096e+01
9.750e+00 	 1.01125e+01
1.000e+01 	 2.50688e+00
1.025e+01 	 3.31746e-01
1.050e+01 	 1.16603e-01
1.075e+01 	 1.39902e-01
1.100e+01 	 1.42343e-01
1.125e+01 	 1.78572e-01
1.150e+01 	 1.79490e-01
1.175e+01 	 1.75245e-01
1.200e+01 	 1.66942e-01
1.225e+01 	 1.65632e-01
1.250e+01 	 1.75362e-01
1.275e+01 	 1.55891e-01
1.300e+01 	 1.72820e-01
1.325e+01 	 1.60529e-01
1.350e+01 	 1.60970e-01
1.375e+01 	 1.61290e-01
1.400e+01 	 1.48030e-01
1.425e+01 	 1.56969e-01
1.450e+01 	 1.44038e-01
1.475e+01 	 1.51558e-01
1.500e+01 	 1.35893e-01
1.525e+01 	 1.35930e-01
1.550e+01 	 1.26009e-01
1.575e+01 	 1.17864e-01
1.600e+01 	 1.08204e-01
1.625e+01 	 1.03423e-01
1.650e+01 	 8.43744e-02
1.675e+01 	 7.62037e-02
1.700e+01 	 6.28628e-02
1.725e+01 	 5.22711e-02
1.750e+01 	 4.28358e-02
1.775e+01 	 3.08310e-02
1.800e+01 	 2.76142e-02
1.825e+01 	 1.95899e-02
1.850e+01 	 8.97020e-03
1.875e+01 	 1.25690e-02
1.900e+01 	 3.69813e-03
1.925e+01 	 3.22490e-03
1.950e+01 	 1.22667e-03
1.975e+01 	 6.53893e-04
2.000e+01 	 1.55233e-03
2.025e+01 	 5.47647e-12
