# 18.11.2020
# 
# unfiltered x-ray spectrum
# measured at: PTB, Braunschweig
# anode: tungsten
# tube voltage: 14 kV
# anode angle: 30°
# inherent filtration: 4 mm Be
# measured in air at 100 cm distance from the focus
# bin width: 0.25 keV
# 
# energy 	 fluence
# (top of bin) 	 (normalised to total fluence and bin width)
# [keV] 	 [photons keV^-1 cm^-2]
2.500e-01 	 0.00000e+00
5.000e-01 	 0.00000e+00
7.500e-01 	 0.00000e+00
1.000e+00 	 0.00000e+00
1.250e+00 	 0.00000e+00
1.500e+00 	 0.00000e+00
1.750e+00 	 0.00000e+00
2.000e+00 	 0.00000e+00
2.250e+00 	 0.00000e+00
2.500e+00 	 0.00000e+00
2.750e+00 	 0.00000e+00
3.000e+00 	 0.00000e+00
3.250e+00 	 0.00000e+00
3.500e+00 	 0.00000e+00
3.750e+00 	 0.00000e+00
4.000e+00 	 0.00000e+00
4.250e+00 	 0.00000e+00
4.500e+00 	 4.43100e-02
4.750e+00 	 1.37596e-01
5.000e+00 	 1.65097e-01
5.250e+00 	 3.00074e-01
5.500e+00 	 5.14481e-01
5.750e+00 	 8.62348e-01
6.000e+00 	 1.49082e+00
6.250e+00 	 2.23846e+00
6.500e+00 	 3.13422e+00
6.750e+00 	 4.06284e+00
7.000e+00 	 4.87753e+00
7.250e+00 	 5.61067e+00
7.500e+00 	 6.78976e+00
7.750e+00 	 7.79577e+00
8.000e+00 	 1.21733e+01
8.250e+00 	 3.48685e+01
8.500e+00 	 2.26425e+01
8.750e+00 	 1.17656e+01
9.000e+00 	 1.38210e+01
9.250e+00 	 1.48537e+01
9.500e+00 	 2.69220e+01
9.750e+00 	 3.18382e+01
1.000e+01 	 2.33264e+01
1.025e+01 	 1.42927e+01
1.050e+01 	 1.40784e+01
1.075e+01 	 1.39385e+01
1.100e+01 	 1.44972e+01
1.125e+01 	 1.83014e+01
1.150e+01 	 1.49741e+01
1.175e+01 	 1.33400e+01
1.200e+01 	 1.22292e+01
1.225e+01 	 1.09791e+01
1.250e+01 	 1.02958e+01
1.275e+01 	 9.11681e+00
1.300e+01 	 8.11763e+00
1.325e+01 	 6.41963e+00
1.350e+01 	 5.01059e+00
1.375e+01 	 2.82051e+00
1.400e+01 	 7.39056e-01
1.425e+01 	 1.02275e-02
1.450e+01 	 4.94672e-02
1.475e+01 	 2.40622e-02
1.500e+01 	 3.52006e-02
1.525e+01 	 2.98668e-02
1.550e+01 	 3.34358e-02
1.575e+01 	 2.99449e-02
1.600e+01 	 3.34979e-02
1.625e+01 	 3.06980e-02
1.650e+01 	 3.28732e-02
1.675e+01 	 3.99818e-02
1.700e+01 	 2.39005e-02
1.725e+01 	 3.32915e-02
1.750e+01 	 3.02574e-02
1.775e+01 	 2.92309e-02
1.800e+01 	 2.98191e-02
1.825e+01 	 2.55866e-02
1.850e+01 	 2.58715e-02
1.875e+01 	 2.44797e-02
1.900e+01 	 2.11666e-02
1.925e+01 	 2.08283e-02
