# 18.11.2020
# 
# unfiltered x-ray spectrum
# measured at: PTB, Braunschweig
# anode: tungsten
# tube voltage: 42 kV
# anode angle: 30°
# inherent filtration: 4 mm Be
# measured in air at 100 cm distance from the focus
# bin width: 0.25 keV
# 
# energy 	 fluence
# (top of bin) 	 (normalised to total fluence and bin width)
# [keV] 	 [photons keV^-1 cm^-2]
2.500e-01 	 0.00000e+00
5.000e-01 	 0.00000e+00
7.500e-01 	 0.00000e+00
1.000e+00 	 0.00000e+00
1.250e+00 	 0.00000e+00
1.500e+00 	 0.00000e+00
1.750e+00 	 0.00000e+00
2.000e+00 	 0.00000e+00
2.250e+00 	 0.00000e+00
2.500e+00 	 0.00000e+00
2.750e+00 	 0.00000e+00
3.000e+00 	 0.00000e+00
3.250e+00 	 0.00000e+00
3.500e+00 	 0.00000e+00
3.750e+00 	 0.00000e+00
4.000e+00 	 0.00000e+00
4.250e+00 	 8.34156e-02
4.500e+00 	 5.25270e-02
4.750e+00 	 7.72396e-02
5.000e+00 	 6.00345e-02
5.250e+00 	 8.43239e-02
5.500e+00 	 8.52151e-02
5.750e+00 	 1.44923e-01
6.000e+00 	 1.80952e-01
6.250e+00 	 3.20201e-01
6.500e+00 	 4.12397e-01
6.750e+00 	 5.27194e-01
7.000e+00 	 6.65720e-01
7.250e+00 	 9.74475e-01
7.500e+00 	 1.20074e+00
7.750e+00 	 1.69109e+00
8.000e+00 	 2.69754e+00
8.250e+00 	 1.40114e+01
8.500e+00 	 1.57186e+01
8.750e+00 	 2.74665e+00
9.000e+00 	 3.24509e+00
9.250e+00 	 3.30411e+00
9.500e+00 	 1.48538e+01
9.750e+00 	 2.39705e+01
1.000e+01 	 1.36163e+01
1.025e+01 	 4.63916e+00
1.050e+01 	 2.63249e+00
1.075e+01 	 3.00221e+00
1.100e+01 	 3.70630e+00
1.125e+01 	 7.73497e+00
1.150e+01 	 6.18923e+00
1.175e+01 	 4.37331e+00
1.200e+01 	 3.52333e+00
1.225e+01 	 3.18983e+00
1.250e+01 	 3.12180e+00
1.275e+01 	 3.26013e+00
1.300e+01 	 3.31392e+00
1.325e+01 	 3.34864e+00
1.350e+01 	 3.41663e+00
1.375e+01 	 3.45506e+00
1.400e+01 	 3.48127e+00
1.425e+01 	 3.56204e+00
1.450e+01 	 3.56926e+00
1.475e+01 	 3.61032e+00
1.500e+01 	 3.64083e+00
1.525e+01 	 3.65011e+00
1.550e+01 	 3.64189e+00
1.575e+01 	 3.70508e+00
1.600e+01 	 3.64504e+00
1.625e+01 	 3.68242e+00
1.650e+01 	 3.64647e+00
1.675e+01 	 3.67939e+00
1.700e+01 	 3.63412e+00
1.725e+01 	 3.63575e+00
1.750e+01 	 3.64963e+00
1.775e+01 	 3.60439e+00
1.800e+01 	 3.57477e+00
1.825e+01 	 3.60571e+00
1.850e+01 	 3.52355e+00
1.875e+01 	 3.52770e+00
1.900e+01 	 3.46821e+00
1.925e+01 	 3.49648e+00
1.950e+01 	 3.42255e+00
1.975e+01 	 3.41661e+00
2.000e+01 	 3.36128e+00
2.025e+01 	 3.38400e+00
2.050e+01 	 3.31387e+00
2.075e+01 	 3.29386e+00
2.100e+01 	 3.26151e+00
2.125e+01 	 3.21072e+00
2.150e+01 	 3.18473e+00
2.175e+01 	 3.14958e+00
2.200e+01 	 3.15855e+00
2.225e+01 	 3.05388e+00
2.250e+01 	 3.05447e+00
2.275e+01 	 3.00036e+00
2.300e+01 	 2.97167e+00
2.325e+01 	 2.89917e+00
2.350e+01 	 2.90753e+00
2.375e+01 	 2.80000e+00
2.400e+01 	 2.82417e+00
2.425e+01 	 2.74785e+00
2.450e+01 	 2.69116e+00
2.475e+01 	 2.72068e+00
2.500e+01 	 2.62320e+00
2.525e+01 	 2.62192e+00
2.550e+01 	 2.55505e+00
2.575e+01 	 2.51384e+00
2.600e+01 	 2.50032e+00
2.625e+01 	 2.40329e+00
2.650e+01 	 2.38543e+00
2.675e+01 	 2.37538e+00
2.700e+01 	 2.32394e+00
2.725e+01 	 2.27191e+00
