# 18.11.2020
# 
# unfiltered x-ray spectrum
# measured at: PTB, Braunschweig
# anode: tungsten
# tube voltage: 32 kV
# anode angle: 30°
# inherent filtration: 4 mm Be
# measured in air at 100 cm distance from the focus
# bin width: 0.25 keV
# 
# energy 	 fluence
# (top of bin) 	 (normalised to total fluence and bin width)
# [keV] 	 [photons keV^-1 cm^-2]
2.500e-01 	 0.00000e+00
5.000e-01 	 0.00000e+00
7.500e-01 	 0.00000e+00
1.000e+00 	 0.00000e+00
1.250e+00 	 0.00000e+00
1.500e+00 	 0.00000e+00
1.750e+00 	 0.00000e+00
2.000e+00 	 0.00000e+00
2.250e+00 	 0.00000e+00
2.500e+00 	 0.00000e+00
2.750e+00 	 0.00000e+00
3.000e+00 	 0.00000e+00
3.250e+00 	 0.00000e+00
3.500e+00 	 0.00000e+00
3.750e+00 	 0.00000e+00
4.000e+00 	 0.00000e+00
4.250e+00 	 1.21874e-01
4.500e+00 	 1.45772e-01
4.750e+00 	 1.08286e-01
5.000e+00 	 8.23768e-02
5.250e+00 	 1.32016e-01
5.500e+00 	 1.63811e-01
5.750e+00 	 1.48923e-01
6.000e+00 	 2.92752e-01
6.250e+00 	 4.60798e-01
6.500e+00 	 5.75710e-01
6.750e+00 	 7.17991e-01
7.000e+00 	 9.46192e-01
7.250e+00 	 1.30733e+00
7.500e+00 	 1.48709e+00
7.750e+00 	 1.99517e+00
8.000e+00 	 2.52668e+00
8.250e+00 	 1.76369e+01
8.500e+00 	 1.84275e+01
8.750e+00 	 2.90569e+00
9.000e+00 	 3.99986e+00
9.250e+00 	 3.41941e+00
9.500e+00 	 1.74951e+01
9.750e+00 	 2.75527e+01
1.000e+01 	 1.52459e+01
1.025e+01 	 5.49565e+00
1.050e+01 	 3.55454e+00
1.075e+01 	 3.93127e+00
1.100e+01 	 4.94531e+00
1.125e+01 	 9.70644e+00
1.150e+01 	 7.62964e+00
1.175e+01 	 5.67466e+00
1.200e+01 	 4.66069e+00
1.225e+01 	 4.36092e+00
1.250e+01 	 4.20372e+00
1.275e+01 	 4.42323e+00
1.300e+01 	 4.48544e+00
1.325e+01 	 4.48622e+00
1.350e+01 	 4.52944e+00
1.375e+01 	 4.61710e+00
1.400e+01 	 4.64612e+00
1.425e+01 	 4.56968e+00
1.450e+01 	 4.72613e+00
1.475e+01 	 4.56495e+00
1.500e+01 	 4.65458e+00
1.525e+01 	 4.62520e+00
1.550e+01 	 4.60477e+00
1.575e+01 	 4.64856e+00
1.600e+01 	 4.53383e+00
1.625e+01 	 4.60309e+00
1.650e+01 	 4.51094e+00
1.675e+01 	 4.45676e+00
1.700e+01 	 4.43973e+00
1.725e+01 	 4.40457e+00
1.750e+01 	 4.33040e+00
1.775e+01 	 4.26744e+00
1.800e+01 	 4.22287e+00
1.825e+01 	 4.20783e+00
1.850e+01 	 4.13496e+00
1.875e+01 	 4.07742e+00
1.900e+01 	 4.05956e+00
1.925e+01 	 3.90799e+00
1.950e+01 	 3.85347e+00
1.975e+01 	 3.85697e+00
2.000e+01 	 3.80341e+00
2.025e+01 	 3.71108e+00
2.050e+01 	 3.64381e+00
2.075e+01 	 3.61585e+00
2.100e+01 	 3.46328e+00
2.125e+01 	 3.50246e+00
2.150e+01 	 3.34904e+00
2.175e+01 	 3.30628e+00
2.200e+01 	 3.26615e+00
2.225e+01 	 3.13998e+00
2.250e+01 	 3.10506e+00
2.275e+01 	 3.04581e+00
2.300e+01 	 2.95281e+00
2.325e+01 	 2.83556e+00
2.350e+01 	 2.85762e+00
2.375e+01 	 2.68634e+00
2.400e+01 	 2.69109e+00
2.425e+01 	 2.60099e+00
2.450e+01 	 2.47793e+00
2.475e+01 	 2.51954e+00
2.500e+01 	 2.36912e+00
2.525e+01 	 2.27895e+00
2.550e+01 	 2.23675e+00
2.575e+01 	 2.15239e+00
2.600e+01 	 2.08586e+00
2.625e+01 	 2.00162e+00
2.650e+01 	 1.93919e+00
2.675e+01 	 1.87182e+00
2.700e+01 	 1.75411e+00
2.725e+01 	 1.73044e+00
2.750e+01 	 1.64329e+00
2.775e+01 	 1.57441e+00
2.800e+01 	 1.50453e+00
2.825e+01 	 1.37015e+00
2.850e+01 	 1.36546e+00
2.875e+01 	 1.24303e+00
2.900e+01 	 1.19068e+00
2.925e+01 	 1.11710e+00
2.950e+01 	 1.03784e+00
2.975e+01 	 9.59756e-01
3.000e+01 	 8.70776e-01
3.025e+01 	 7.65199e-01
3.050e+01 	 7.15806e-01
3.075e+01 	 5.90485e-01
3.100e+01 	 5.33548e-01
3.125e+01 	 4.21520e-01
3.150e+01 	 3.15376e-01
3.175e+01 	 1.85703e-01
3.200e+01 	 6.29351e-02
3.225e+01 	 4.68875e-03
3.250e+01 	 3.22649e-03
3.275e+01 	 2.35643e-03
3.300e+01 	 3.64666e-03
3.325e+01 	 3.18446e-03
3.350e+01 	 2.77277e-03
3.375e+01 	 2.99107e-03
3.400e+01 	 2.88048e-03
3.425e+01 	 1.94283e-03
3.450e+01 	 2.49115e-03
