# 18.11.2020
# 
# unfiltered x-ray spectrum
# measured at: PTB, Braunschweig
# anode: tungsten
# tube voltage: 17 kV
# anode angle: 30°
# inherent filtration: 4 mm Be
# measured in air at 100 cm distance from the focus
# bin width: 0.25 keV
# 
# energy 	 fluence
# (top of bin) 	 (normalised to total fluence and bin width)
# [keV] 	 [photons keV^-1 cm^-2]
2.500e-01 	 0.00000e+00
5.000e-01 	 0.00000e+00
7.500e-01 	 0.00000e+00
1.000e+00 	 0.00000e+00
1.250e+00 	 0.00000e+00
1.500e+00 	 0.00000e+00
1.750e+00 	 0.00000e+00
2.000e+00 	 0.00000e+00
2.250e+00 	 0.00000e+00
2.500e+00 	 0.00000e+00
2.750e+00 	 0.00000e+00
3.000e+00 	 0.00000e+00
3.250e+00 	 0.00000e+00
3.500e+00 	 0.00000e+00
3.750e+00 	 0.00000e+00
4.000e+00 	 0.00000e+00
4.250e+00 	 2.54369e-01
4.500e+00 	 1.22452e-01
4.750e+00 	 1.78056e-01
5.000e+00 	 1.70316e-01
5.250e+00 	 1.78092e-01
5.500e+00 	 3.04117e-01
5.750e+00 	 4.91664e-01
6.000e+00 	 7.93453e-01
6.250e+00 	 1.24567e+00
6.500e+00 	 1.75236e+00
6.750e+00 	 2.21501e+00
7.000e+00 	 2.76655e+00
7.250e+00 	 3.41349e+00
7.500e+00 	 4.10623e+00
7.750e+00 	 4.56569e+00
8.000e+00 	 8.51054e+00
8.250e+00 	 3.18721e+01
8.500e+00 	 1.89259e+01
8.750e+00 	 6.82674e+00
9.000e+00 	 9.01284e+00
9.250e+00 	 9.99672e+00
9.500e+00 	 2.75193e+01
9.750e+00 	 3.14772e+01
1.000e+01 	 1.86636e+01
1.025e+01 	 9.91630e+00
1.050e+01 	 9.31644e+00
1.075e+01 	 9.78230e+00
1.100e+01 	 1.11867e+01
1.125e+01 	 1.59117e+01
1.150e+01 	 1.27126e+01
1.175e+01 	 1.09113e+01
1.200e+01 	 1.01917e+01
1.225e+01 	 9.55465e+00
1.250e+01 	 9.44407e+00
1.275e+01 	 9.29965e+00
1.300e+01 	 9.24084e+00
1.325e+01 	 8.71906e+00
1.350e+01 	 8.52662e+00
1.375e+01 	 8.12891e+00
1.400e+01 	 7.86900e+00
1.425e+01 	 7.48071e+00
1.450e+01 	 6.99191e+00
1.475e+01 	 6.64446e+00
1.500e+01 	 6.09834e+00
1.525e+01 	 5.63188e+00
1.550e+01 	 5.03404e+00
1.575e+01 	 4.47872e+00
1.600e+01 	 3.81628e+00
1.625e+01 	 3.12431e+00
1.650e+01 	 2.42792e+00
1.675e+01 	 1.41955e+00
1.700e+01 	 4.41061e-01
1.725e+01 	 1.26361e-02
1.750e+01 	 4.00346e-02
1.775e+01 	 2.73555e-02
1.800e+01 	 3.46467e-02
1.825e+01 	 2.89862e-02
1.850e+01 	 2.74342e-02
1.875e+01 	 2.10547e-02
1.900e+01 	 2.23177e-02
1.925e+01 	 2.29063e-02
1.950e+01 	 2.43691e-02
1.975e+01 	 1.81341e-02
2.000e+01 	 2.25975e-02
2.025e+01 	 1.66263e-02
2.050e+01 	 1.74215e-02
