# 18.11.2020
# 
# unfiltered x-ray spectrum
# measured at: PTB, Braunschweig
# anode: molybdenum
# tube voltage: 31 kV
# anode angle: 26°
# inherent filtration: 1 mm Be
# measured in air at 100 cm distance from the focus
# bin width: 0.25 keV
# 
# energy 	 fluence
# (top of bin) 	 (normalised to total fluence and bin width)
# [keV] 	 [photons keV^-1 cm^-2]
2.500e-01 	 0.00000e+00
5.000e-01 	 0.00000e+00
7.500e-01 	 0.00000e+00
1.000e+00 	 0.00000e+00
1.250e+00 	 0.00000e+00
1.500e+00 	 0.00000e+00
1.750e+00 	 0.00000e+00
2.000e+00 	 0.00000e+00
2.250e+00 	 0.00000e+00
2.500e+00 	 0.00000e+00
2.750e+00 	 0.00000e+00
3.000e+00 	 0.00000e+00
3.250e+00 	 0.00000e+00
3.500e+00 	 0.00000e+00
3.750e+00 	 0.00000e+00
4.000e+00 	 0.00000e+00
4.250e+00 	 8.78963e-02
4.500e+00 	 1.59095e-01
4.750e+00 	 1.24213e-01
5.000e+00 	 1.80881e-01
5.250e+00 	 2.74326e-01
5.500e+00 	 3.54575e-01
5.750e+00 	 5.64240e-01
6.000e+00 	 8.27722e-01
6.250e+00 	 1.27160e+00
6.500e+00 	 1.87969e+00
6.750e+00 	 1.85884e+00
7.000e+00 	 2.16866e+00
7.250e+00 	 2.98700e+00
7.500e+00 	 4.86097e+00
7.750e+00 	 1.53360e+00
8.000e+00 	 3.33657e+00
8.250e+00 	 4.04789e+00
8.500e+00 	 4.31517e+00
8.750e+00 	 4.68997e+00
9.000e+00 	 4.79176e+00
9.250e+00 	 5.07607e+00
9.500e+00 	 5.50758e+00
9.750e+00 	 5.63536e+00
1.000e+01 	 5.51188e+00
1.025e+01 	 5.62572e+00
1.050e+01 	 5.74229e+00
1.075e+01 	 5.81688e+00
1.100e+01 	 5.86901e+00
1.125e+01 	 6.54476e+00
1.150e+01 	 6.32648e+00
1.175e+01 	 6.16379e+00
1.200e+01 	 6.18395e+00
1.225e+01 	 6.04264e+00
1.250e+01 	 5.90489e+00
1.275e+01 	 6.00267e+00
1.300e+01 	 5.78908e+00
1.325e+01 	 5.76485e+00
1.350e+01 	 5.56037e+00
1.375e+01 	 5.56728e+00
1.400e+01 	 5.38757e+00
1.425e+01 	 5.34799e+00
1.450e+01 	 5.29648e+00
1.475e+01 	 5.09289e+00
1.500e+01 	 5.05116e+00
1.525e+01 	 4.86983e+00
1.550e+01 	 4.83657e+00
1.575e+01 	 4.75386e+00
1.600e+01 	 4.53585e+00
1.625e+01 	 4.67241e+00
1.650e+01 	 4.38046e+00
1.675e+01 	 4.81677e+00
1.700e+01 	 3.63133e+00
1.725e+01 	 2.80000e+01
1.750e+01 	 4.69643e+01
1.775e+01 	 7.75018e+00
1.800e+01 	 3.41938e+00
1.825e+01 	 3.85826e+00
1.850e+01 	 3.45547e+00
1.875e+01 	 3.55904e+00
1.900e+01 	 3.43498e+00
1.925e+01 	 3.62462e+00
1.950e+01 	 1.05236e+01
1.975e+01 	 8.61412e+00
2.000e+01 	 3.89808e+00
2.025e+01 	 2.81316e+00
2.050e+01 	 2.51836e+00
2.075e+01 	 2.52668e+00
2.100e+01 	 2.46503e+00
2.125e+01 	 2.33909e+00
2.150e+01 	 2.38691e+00
2.175e+01 	 2.30514e+00
2.200e+01 	 2.18249e+00
2.225e+01 	 2.20644e+00
2.250e+01 	 2.03246e+00
2.275e+01 	 2.01895e+00
2.300e+01 	 1.97115e+00
2.325e+01 	 1.89712e+00
2.350e+01 	 1.82439e+00
2.375e+01 	 1.74175e+00
2.400e+01 	 1.76547e+00
2.425e+01 	 1.62674e+00
2.450e+01 	 1.62164e+00
2.475e+01 	 1.51477e+00
2.500e+01 	 1.49803e+00
2.525e+01 	 1.39541e+00
2.550e+01 	 1.36439e+00
2.575e+01 	 1.29648e+00
2.600e+01 	 1.24129e+00
2.625e+01 	 1.16207e+00
2.650e+01 	 1.13803e+00
2.675e+01 	 1.08314e+00
2.700e+01 	 9.81002e-01
2.725e+01 	 9.75224e-01
2.750e+01 	 8.79845e-01
2.775e+01 	 8.56060e-01
2.800e+01 	 7.92259e-01
2.825e+01 	 7.13291e-01
2.850e+01 	 6.87146e-01
2.875e+01 	 6.09630e-01
2.900e+01 	 5.63091e-01
2.925e+01 	 4.89774e-01
2.950e+01 	 4.28870e-01
2.975e+01 	 3.97768e-01
3.000e+01 	 3.05923e-01
3.025e+01 	 2.87544e-01
3.050e+01 	 1.83707e-01
3.075e+01 	 1.12097e-01
3.100e+01 	 4.10699e-02
3.125e+01 	 7.93367e-03
3.150e+01 	 2.23570e-03
3.175e+01 	 4.42038e-03
3.200e+01 	 2.53171e-03
3.225e+01 	 4.57266e-03
3.250e+01 	 2.14952e-03
3.275e+01 	 2.86456e-03
3.300e+01 	 4.47952e-03
3.325e+01 	 2.48195e-03
