# 18.11.2020
# 
# unfiltered x-ray spectrum
# measured at: PTB, Braunschweig
# anode: molybdenum
# tube voltage: 39 kV
# anode angle: 26°
# inherent filtration: 1 mm Be
# measured in air at 100 cm distance from the focus
# bin width: 0.25 keV
# 
# energy 	 fluence
# (top of bin) 	 (normalised to total fluence and bin width)
# [keV] 	 [photons keV^-1 cm^-2]
2.500e-01 	 0.00000e+00
5.000e-01 	 0.00000e+00
7.500e-01 	 0.00000e+00
1.000e+00 	 0.00000e+00
1.250e+00 	 0.00000e+00
1.500e+00 	 0.00000e+00
1.750e+00 	 0.00000e+00
2.000e+00 	 0.00000e+00
2.250e+00 	 0.00000e+00
2.500e+00 	 0.00000e+00
2.750e+00 	 0.00000e+00
3.000e+00 	 0.00000e+00
3.250e+00 	 0.00000e+00
3.500e+00 	 0.00000e+00
3.750e+00 	 0.00000e+00
4.000e+00 	 0.00000e+00
4.250e+00 	 1.26071e-05
4.500e+00 	 3.06765e-02
4.750e+00 	 8.31602e-02
5.000e+00 	 9.77376e-02
5.250e+00 	 1.57000e-01
5.500e+00 	 2.47201e-01
5.750e+00 	 3.61815e-01
6.000e+00 	 4.89473e-01
6.250e+00 	 9.36765e-01
6.500e+00 	 1.51182e+00
6.750e+00 	 1.31921e+00
7.000e+00 	 1.39164e+00
7.250e+00 	 2.47847e+00
7.500e+00 	 4.58104e+00
7.750e+00 	 5.18363e-02
8.000e+00 	 1.91005e+00
8.250e+00 	 2.94439e+00
8.500e+00 	 3.10671e+00
8.750e+00 	 3.28086e+00
9.000e+00 	 3.50253e+00
9.250e+00 	 3.66811e+00
9.500e+00 	 4.03058e+00
9.750e+00 	 4.28727e+00
1.000e+01 	 3.88898e+00
1.025e+01 	 4.21110e+00
1.050e+01 	 4.18955e+00
1.075e+01 	 4.41574e+00
1.100e+01 	 4.36087e+00
1.125e+01 	 4.96653e+00
1.150e+01 	 4.77871e+00
1.175e+01 	 4.66138e+00
1.200e+01 	 4.77486e+00
1.225e+01 	 4.62167e+00
1.250e+01 	 4.61112e+00
1.275e+01 	 4.57363e+00
1.300e+01 	 4.60328e+00
1.325e+01 	 4.42816e+00
1.350e+01 	 4.42890e+00
1.375e+01 	 4.32742e+00
1.400e+01 	 4.38805e+00
1.425e+01 	 4.29357e+00
1.450e+01 	 4.15157e+00
1.475e+01 	 4.17791e+00
1.500e+01 	 4.03032e+00
1.525e+01 	 4.00793e+00
1.550e+01 	 4.00497e+00
1.575e+01 	 3.83686e+00
1.600e+01 	 3.89309e+00
1.625e+01 	 3.86432e+00
1.650e+01 	 3.60149e+00
1.675e+01 	 4.47521e+00
1.700e+01 	 2.76337e+00
1.725e+01 	 3.65878e+01
1.750e+01 	 6.18343e+01
1.775e+01 	 8.76891e+00
1.800e+01 	 2.80072e+00
1.825e+01 	 3.37118e+00
1.850e+01 	 3.09822e+00
1.875e+01 	 3.07219e+00
1.900e+01 	 3.19544e+00
1.925e+01 	 3.41753e+00
1.950e+01 	 1.29085e+01
1.975e+01 	 1.04446e+01
2.000e+01 	 3.84694e+00
2.025e+01 	 2.60077e+00
2.050e+01 	 2.20938e+00
2.075e+01 	 2.25265e+00
2.100e+01 	 2.18669e+00
2.125e+01 	 2.19058e+00
2.150e+01 	 2.13718e+00
2.175e+01 	 2.12828e+00
2.200e+01 	 2.06701e+00
2.225e+01 	 2.06613e+00
2.250e+01 	 1.96608e+00
2.275e+01 	 1.92354e+00
2.300e+01 	 1.95688e+00
2.325e+01 	 1.80486e+00
2.350e+01 	 1.88282e+00
2.375e+01 	 1.76726e+00
2.400e+01 	 1.73596e+00
2.425e+01 	 1.75232e+00
2.450e+01 	 1.70673e+00
2.475e+01 	 1.67717e+00
2.500e+01 	 1.65607e+00
2.525e+01 	 1.58946e+00
2.550e+01 	 1.54862e+00
2.575e+01 	 1.52634e+00
2.600e+01 	 1.50800e+00
2.625e+01 	 1.42600e+00
2.650e+01 	 1.44029e+00
2.675e+01 	 1.37497e+00
2.700e+01 	 1.34332e+00
2.725e+01 	 1.31086e+00
