# 18.11.2020
# 
# unfiltered x-ray spectrum
# measured at: PTB, Braunschweig
# anode: molybdenum
# tube voltage: 25 kV
# anode angle: 26°
# inherent filtration: 1 mm Be
# measured in air at 100 cm distance from the focus
# bin width: 0.25 keV
# 
# energy 	 fluence
# (top of bin) 	 (normalised to total fluence and bin width)
# [keV] 	 [photons keV^-1 cm^-2]
2.500e-01 	 0.00000e+00
5.000e-01 	 0.00000e+00
7.500e-01 	 0.00000e+00
1.000e+00 	 0.00000e+00
1.250e+00 	 0.00000e+00
1.500e+00 	 0.00000e+00
1.750e+00 	 0.00000e+00
2.000e+00 	 0.00000e+00
2.250e+00 	 0.00000e+00
2.500e+00 	 0.00000e+00
2.750e+00 	 0.00000e+00
3.000e+00 	 0.00000e+00
3.250e+00 	 0.00000e+00
3.500e+00 	 0.00000e+00
3.750e+00 	 0.00000e+00
4.000e+00 	 0.00000e+00
4.250e+00 	 2.47183e-01
4.500e+00 	 1.93943e-01
4.750e+00 	 2.05952e-01
5.000e+00 	 2.95873e-01
5.250e+00 	 4.15113e-01
5.500e+00 	 5.97595e-01
5.750e+00 	 9.71138e-01
6.000e+00 	 1.23925e+00
6.250e+00 	 1.81652e+00
6.500e+00 	 2.46827e+00
6.750e+00 	 2.84279e+00
7.000e+00 	 3.16301e+00
7.250e+00 	 4.08769e+00
7.500e+00 	 5.23326e+00
7.750e+00 	 4.09229e+00
8.000e+00 	 5.21790e+00
8.250e+00 	 5.88959e+00
8.500e+00 	 6.29244e+00
8.750e+00 	 6.58568e+00
9.000e+00 	 7.00437e+00
9.250e+00 	 7.17540e+00
9.500e+00 	 7.49402e+00
9.750e+00 	 7.82226e+00
1.000e+01 	 7.82910e+00
1.025e+01 	 7.85427e+00
1.050e+01 	 7.81894e+00
1.075e+01 	 8.04172e+00
1.100e+01 	 7.92821e+00
1.125e+01 	 8.99317e+00
1.150e+01 	 8.51828e+00
1.175e+01 	 8.31817e+00
1.200e+01 	 8.21918e+00
1.225e+01 	 7.99518e+00
1.250e+01 	 7.85261e+00
1.275e+01 	 7.80958e+00
1.300e+01 	 7.65124e+00
1.325e+01 	 7.36571e+00
1.350e+01 	 7.17194e+00
1.375e+01 	 7.11385e+00
1.400e+01 	 6.89890e+00
1.425e+01 	 6.65693e+00
1.450e+01 	 6.55601e+00
1.475e+01 	 6.36588e+00
1.500e+01 	 6.15017e+00
1.525e+01 	 6.03696e+00
1.550e+01 	 5.77454e+00
1.575e+01 	 5.73605e+00
1.600e+01 	 5.47854e+00
1.625e+01 	 5.40299e+00
1.650e+01 	 5.01179e+00
1.675e+01 	 5.56210e+00
1.700e+01 	 4.04220e+00
1.725e+01 	 1.58109e+01
1.750e+01 	 2.65985e+01
1.775e+01 	 6.30781e+00
1.800e+01 	 4.23818e+00
1.825e+01 	 3.97652e+00
1.850e+01 	 3.86076e+00
1.875e+01 	 3.64219e+00
1.900e+01 	 3.61346e+00
1.925e+01 	 3.41756e+00
1.950e+01 	 6.68755e+00
1.975e+01 	 6.04324e+00
2.000e+01 	 3.31287e+00
2.025e+01 	 2.81760e+00
2.050e+01 	 2.44548e+00
2.075e+01 	 2.41639e+00
2.100e+01 	 2.24600e+00
2.125e+01 	 2.16975e+00
2.150e+01 	 2.01169e+00
2.175e+01 	 1.89998e+00
2.200e+01 	 1.77849e+00
2.225e+01 	 1.60033e+00
2.250e+01 	 1.56594e+00
2.275e+01 	 1.34494e+00
2.300e+01 	 1.30671e+00
2.325e+01 	 1.13581e+00
2.350e+01 	 9.95401e-01
2.375e+01 	 8.76493e-01
2.400e+01 	 7.54227e-01
2.425e+01 	 5.86341e-01
2.450e+01 	 4.68002e-01
2.475e+01 	 2.71671e-01
2.500e+01 	 1.08994e-01
2.525e+01 	 2.28911e-02
2.550e+01 	 2.28822e-02
2.575e+01 	 1.78983e-02
2.600e+01 	 1.88960e-02
2.625e+01 	 1.96232e-02
2.650e+01 	 1.97459e-02
2.675e+01 	 1.43241e-02
2.700e+01 	 1.81235e-02
2.725e+01 	 1.59623e-02
2.750e+01 	 1.41986e-02
